Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls per90,Ast per90,G+A per90,G-PK per90,G+A-PK per90,xG,npxG,xA,npxG+xA,xG per90,xA per90,xG+xA per90,npxG per90,npxG+xA per90,Passes Cmp,Att,Passes Cmp%,Passes TotDist,Passes PrgDist,KP per90,Final third per90,PPA per90,CrsPA per90,Prog per90,Live passes per90,Dead passes per90,FK passes per90,TB passes per90,under pressure passes per90,Sw passes per90,Crs passes per90,CK passes per90,Ground passes per90,Low passes per90,High passes per90,SCA Dead-balls per90,SCA Open-Play per90,Touches per90,Touches Def Pen per90,Touches Def 3rd per90,Touches Mid 3rd per90,Touches Att 3rd per90,Touches Att Pen per90,Live touches per90,Succ Dribbles per90,Att Dribbles per90,Succ Dribbles%,Players dribbled past per90,NutMegs per90,Carries per90,Carries TotDist per90,Carries PrgDist per90,Prog Carries per90,Carries to final-third per90,Carries to penalty area per90,Miss-Control per90,Dispossessed per90,Pass Targ per90,Passes Rec per90,Pass Rec%,Prog Rec-Passes per90,Tkl per90,TklW per90,Tkl Def 3rd per90,Tkl Mid 3rd per90,Tkl Att 3rd per90,Succ Tkl vs Dribbles per90,Att Tkl vs Dribbles per90,Tkl vs Dribbles%,Past per90,Press per90,Succ press per90,Succ Press %,Press Def 3rd per90,Press Mid 3rd per90,Press Att 3rd per90,Int per90,Tkl+Int per90,Clr per90,Err per90
491,Catena,es ESP,DF,Rayo Vallecano,es La Liga,26,1994,36,36,3240,36,2,2,2,0,0,8,0,0.06,0.06,0.11,0.06,0.11,1.6,1.6,0.7,2.3,0.04,0.02,0.06,0.04,0.06,38.4,46.4,82.7,988.5,367.8,0.19,2.39,0.06,0,2.03,44,2.44,2.42,0.03,6.58,2.86,0.14,0,31.2,3.83,11.4,0.06,0.59,56.2,9.42,33.3,24.3,1.5,1.06,53.9,0.17,0.28,60,0.19,0.03,31.1,155.4,86.1,1.06,0.08,0,0.14,0.11,35.3,34.7,98.2,0.11,1,0.61,0.58,0.42,0,0.56,1,55.6,0.44,5.28,1.89,35.8,3.06,2.03,0.19,1.53,2.53,5.31,0
492,Craig Cathcart,nir NIR,DF,Watford,eng Premier League,32,1989,31,27,2396,26.6,0,1,0,0,0,3,0,0,0.04,0.04,0,0.04,0.1,0.1,0.3,0.5,0,0.01,0.02,0,0.02,27.9,34.5,80.9,661.8,189.6,0.08,1.77,0.19,0.04,1.5,32.5,1.95,0.38,0,4.1,1.69,0.11,0,20.8,3.46,10.2,0,0.19,44.2,7.89,25.3,18.3,2.26,0.38,42.3,0,0.04,0,0,0,21,83.3,37.9,0.49,0.11,0,0.08,0.15,24.3,23.5,96.6,0.11,1.24,0.56,0.98,0.26,0,0.6,1.28,47.1,0.68,6.2,1.92,30.9,4.4,1.69,0.11,1.43,2.67,4.85,0.08
493,Edinson Cavani,uy URU,FW,Manchester Utd,eng Premier League,34,1987,15,7,766,8.5,2,1,2,0,0,0,0,0.23,0.12,0.35,0.23,0.35,3.4,3.4,1.4,4.7,0.39,0.16,0.55,0.39,0.55,21.2,26.5,80,321.9,40.5,0.94,0.47,0.12,0,1.06,25.6,0.82,0.12,0,4.24,1.06,0.35,0,19.3,3.88,3.29,0,1.18,34.8,1.53,6.12,15.4,14.4,3.76,34.1,0.47,0.59,80,0.47,0,19.2,45.9,12.6,0.94,0.47,0.24,1.65,0.35,44,25.8,58.6,5.06,0.47,0.24,0,0.35,0.12,0.35,0.71,50,0.35,12.4,4.59,37.1,1.65,4.24,6.47,1.06,1.53,0.82,0
494,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,24,1996,11,2,276,3.1,0,0,0,0,0,1,0,0,0,0,0,0,0.7,0.7,0.1,0.8,0.22,0.04,0.27,0.22,0.27,76.8,84.8,90.5,1403.2,349.7,0.97,5.16,1.61,0.32,4.19,83.5,1.29,0.97,0,9.03,2.58,0.32,0,73.5,5.48,5.81,0,4.2,100.6,2.58,23.5,61.9,26.1,3.87,100,0.97,2.26,42.9,0.97,0.32,82.3,437.4,189.7,6.45,3.55,0.32,2.26,1.29,83.2,80.3,96.5,3.55,3.87,1.94,1.61,2.26,0,1.61,2.58,62.5,0.97,21.3,6.45,30.3,5.81,10.3,5.16,2.26,6.13,0,0
495,Pietro Ceccaroni,it ITA,DF,Venezia,it Serie A,25,1995,35,35,3122,34.7,2,1,2,0,0,7,1,0.06,0.03,0.09,0.06,0.09,2.1,2.1,0.3,2.4,0.06,0.01,0.07,0.06,0.07,40.8,49.1,83.1,824.1,318.3,0.17,2.07,0.17,0.12,2.16,46,3.11,1.76,0,5.71,0.17,0.43,0,35,4.67,9.37,0.03,0.49,60.1,14.6,39.9,20.3,3.54,0.75,57.1,0.29,0.46,62.5,0.32,0,34.8,211.2,119.3,1.79,0.37,0,0.14,0.29,38.5,37.8,98,0.09,1.53,0.75,0.92,0.49,0.12,0.43,0.66,65.2,0.23,9.83,3.05,31.1,5.94,3.08,0.81,1.93,3.46,4.52,0.06
496,Federico Ceccherini,it ITA,DF,Hellas Verona,it Serie A,29,1992,34,29,2358,26.2,1,0,1,0,0,12,1,0.04,0,0.04,0.04,0.04,1.8,1.8,0.7,2.6,0.07,0.03,0.1,0.07,0.1,37.5,46.4,80.9,726.3,262.4,0.34,2.86,0.23,0,3.21,44.3,2.1,1.34,0.04,6.68,0.84,0.19,0,30.7,5.8,9.89,0,0.84,57,4.77,25,28.7,6.79,1.26,55.1,0.34,0.65,52.9,0.34,0,34.7,167.4,84.9,2.86,0.92,0.04,0.5,0.95,35.4,33.7,95,0.99,1.49,1.18,0.88,0.46,0.15,0.57,1.07,53.6,0.5,11.8,3.93,33.3,5.57,5.08,1.15,2.44,3.93,3.93,0
497,Emil Ceide,no NOR,FWDF,Sassuolo,it Serie A,19,2001,6,0,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,41.7,52,293.3,116.7,0,0,3.33,0,6.67,36.7,5,0,0,15,0,0,1.67,31.7,8.33,1.67,0,1.67,71.7,0,6.67,30,36.7,6.67,66.7,0,3.33,0,0,0,45,228.3,150,10,0,3.33,5,6.67,68.3,45,65.9,5,6.67,3.33,3.33,3.33,0,3.33,3.33,100,0,30,8.33,27.8,16.7,6.67,6.67,3.33,10,1.67,0
498,Zeki Зelik,tr TUR,DF,Lille,fr Ligue 1,24,1997,32,30,2696,30,2,3,2,0,0,10,0,0.07,0.1,0.17,0.07,0.17,1.4,1.4,2,3.3,0.05,0.07,0.11,0.05,0.11,47.5,59.2,80.1,835.5,324,0.73,3.97,1.13,0.37,4.47,49.4,9.83,0.83,0.03,8.03,1.47,1.93,0.03,36,12.8,10.5,0.07,1.36,69.1,3.5,19.8,36.3,17.8,2.03,59.6,0.6,1.2,50,0.7,0.07,40.2,217.1,135,5.87,1.7,0.27,0.83,0.6,45.2,42.2,93.4,2.17,2.53,1.63,1.47,0.73,0.33,1.07,1.87,57.1,0.8,14.5,4.77,32.8,6.13,5.9,2.5,1.53,4.07,1.63,0.03
499,Fabien Centonze,fr FRA,DF,Metz,fr Ligue 1,25,1996,19,18,1586,17.6,4,1,4,0,0,3,0,0.23,0.06,0.28,0.23,0.28,0.9,0.9,0.6,1.4,0.05,0.03,0.08,0.05,0.08,35.3,43.9,80.4,576.3,251.6,0.57,1.76,0.8,0.34,2.5,35.8,8.07,0.8,0,3.81,0.8,1.7,0,27.3,7.61,8.98,0.06,1.14,59.8,4.38,20.9,27.3,15.5,1.02,51.9,1.99,3.18,62.5,1.99,0.06,35.3,205.7,125.5,5.85,1.31,0.23,1.7,1.25,36.8,33.1,89.8,1.82,2.5,1.53,1.53,0.74,0.23,0.85,1.7,50,0.85,13.8,4.15,30,6.08,5.4,2.33,2.73,5.23,2.78,0
500,Luca Ceppitelli,it ITA,DF,Cagliari,it Serie A,31,1989,24,16,1445,16.1,1,1,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,0.6,0.6,0,0.6,0.04,0,0.04,0.04,0.04,41.6,49.7,83.8,861.2,266.2,0.06,1.93,0.31,0,2.48,47.8,1.93,1.68,0,4.97,1.37,0.19,0,34.8,4.35,10.5,0,0.55,58.8,8.45,29.3,29.9,2.92,0.68,57,0.19,0.19,100,0.19,0,33.7,148.5,77,2.17,0.31,0,0.31,0.31,36.6,36.1,98.8,0.19,1.24,0.5,0.75,0.5,0,0.56,1.18,47.4,0.62,9.13,3.11,34,5.4,3.35,0.37,2.24,3.48,3.42,0
