Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls per90,Ast per90,G+A per90,G-PK per90,G+A-PK per90,xG,npxG,xA,npxG+xA,xG per90,xA per90,xG+xA per90,npxG per90,npxG+xA per90,Passes Cmp,Att,Passes Cmp%,Passes TotDist,Passes PrgDist,KP per90,Final third per90,PPA per90,CrsPA per90,Prog per90,Live passes per90,Dead passes per90,FK passes per90,TB passes per90,under pressure passes per90,Sw passes per90,Crs passes per90,CK passes per90,Ground passes per90,Low passes per90,High passes per90,SCA Dead-balls per90,SCA Open-Play per90,Touches per90,Touches Def Pen per90,Touches Def 3rd per90,Touches Mid 3rd per90,Touches Att 3rd per90,Touches Att Pen per90,Live touches per90,Succ Dribbles per90,Att Dribbles per90,Succ Dribbles%,Players dribbled past per90,NutMegs per90,Carries per90,Carries TotDist per90,Carries PrgDist per90,Prog Carries per90,Carries to final-third per90,Carries to penalty area per90,Miss-Control per90,Dispossessed per90,Pass Targ per90,Passes Rec per90,Pass Rec%,Prog Rec-Passes per90,Tkl per90,TklW per90,Tkl Def 3rd per90,Tkl Mid 3rd per90,Tkl Att 3rd per90,Succ Tkl vs Dribbles per90,Att Tkl vs Dribbles per90,Tkl vs Dribbles%,Past per90,Press per90,Succ press per90,Succ Press %,Press Def 3rd per90,Press Mid 3rd per90,Press Att 3rd per90,Int per90,Tkl+Int per90,Clr per90,Err per90
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,34,32,2881,32,0,2,0,0,0,8,0,0,0.06,0.06,0,0.06,0.7,0.7,1.4,2.1,0.02,0.04,0.07,0.02,0.07,34,45,75.5,574.1,214.8,0.59,1.56,1.13,0.25,2.94,34.4,10.6,0.84,0.06,5.41,0.59,1.41,0,26.5,9.59,8.94,0.06,1.06,58,5.06,23.3,23.8,15,0.91,47.8,1.03,2.44,42.3,1.09,0.19,33.9,199.4,121.7,5.44,1.66,0.41,0.84,0.94,36,32.4,89.9,1.28,2.16,1.16,1.56,0.59,0,1.16,1.81,63.8,0.66,13.6,3.53,26,7.97,4.38,1.22,1.75,3.91,2.19,0
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,34,34,2983,33.1,2,0,2,0,0,5,1,0.06,0,0.06,0.06,0.06,1.2,1.2,0.8,2.1,0.04,0.02,0.06,0.04,0.06,38.7,47,82.4,835.8,287.9,0.24,2.45,0.18,0,2.72,44,3.02,2.45,0,5.68,1.66,0.06,0,35.3,3.78,7.95,0,0.63,57.3,8.28,32.8,25.7,2.9,0.85,54.5,0.48,0.66,72.7,0.48,0.03,35.7,204.7,115.5,2.75,0.73,0,0.45,0.39,37.5,36.3,96.9,0.36,1.87,1.39,1.24,0.6,0.03,0.39,0.82,48.1,0.42,13.6,4.89,35.9,7.61,5.14,0.88,3.11,4.98,3.2,0
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,31,29,2462,27.4,1,0,1,0,0,12,3,0.04,0,0.04,0.04,0.04,0.8,0.8,1.1,1.9,0.03,0.04,0.07,0.03,0.07,55.9,61,91.7,1033.3,184.4,0.55,2.81,0.47,0.04,2.96,60.3,0.73,0.58,0.04,8.03,0.8,0.36,0,52.6,4.71,3.72,0,1.31,70.4,2.01,22.7,41.8,10.9,0.62,69.9,0.99,1.53,64.3,1.09,0.07,53.5,246.5,106.3,2.85,0.73,0.15,0.84,1.46,58.6,54.2,92.5,1.72,2.01,1.24,0.91,0.91,0.18,0.69,2.15,32.2,1.46,23.4,6.53,27.9,7.19,12.3,3.94,1.86,3.87,0.55,0
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,34,34,2956,32.8,0,2,0,0,0,9,0,0,0.06,0.06,0,0.06,2,2,2.9,4.9,0.06,0.09,0.15,0.06,0.15,40.7,49.8,81.6,780.8,206,0.91,3.87,0.58,0.18,4.18,49,0.85,0.64,0.18,9.48,1.49,0.79,0.03,37.6,5.64,6.65,0.06,1.73,61.6,0.67,13.7,40.3,11.6,0.46,60.9,1.28,1.98,64.6,1.34,0.09,45.7,171.9,86.4,2.87,1.13,0.09,0.85,1.46,46.3,43,93,1.86,3.57,2.23,1.49,1.71,0.37,1.8,4.97,36.2,3.17,28,7.9,28.2,9.27,15.3,3.41,2.56,6.13,0.34,0
5,Charles Abi,fr FRA,FW,Saint-Йtienne,fr Ligue 1,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,33.3,48,0,0,0,0,0,0,12,0,0,0,6,0,2,0,10,0,2,0,0,24,0,0,10,18,6,24,0,0,,0,0,18,118,18,0,2,0,8,0,24,16,66.7,4,0,0,0,0,0,0,2,0,2,28,2,7.1,0,22,6,0,0,0,0
6,Dickson Abiama,ng NGA,FW,Greuther Fьrth,de Bundesliga,22,1998,24,5,726,8.1,0,1,0,0,0,3,0,0,0.12,0.12,0,0.12,2.2,2.2,1.1,3.3,0.27,0.14,0.41,0.27,0.41,11.1,17.2,64.7,160,40.7,0.99,0.86,0.74,0,1.6,16,1.11,0.12,0.12,5.19,0.25,0.25,0,10.7,3.95,2.47,0,2.22,33,1.11,3.46,15.6,15.6,3.83,31.9,0.74,2.22,33.3,0.86,0.12,19,74.7,40.2,2.59,0.99,0.86,5.06,1.36,41.4,21.1,51,5.93,1.73,0.86,0.37,0.86,0.49,0.25,1.36,18.2,1.11,23.5,4.81,20.5,2.59,10,10.9,0.99,2.72,0.86,0
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.4,0.3,0.03,0.32,0.3,0.32,7.27,9.09,80,90.9,20,0.91,0.91,0.91,0,0.91,9.09,0,0,0,3.64,0,0.91,0,8.18,0.91,0,0,0.91,22.7,1.82,1.82,10,10.9,2.73,22.7,0.91,1.82,50,0.91,0,16.4,61.8,31.8,2.73,0,0,1.82,4.55,35.5,11.8,33.3,7.27,0,0,0,0,0,0,0.91,0,0.91,23.6,3.64,15.4,3.64,12.7,7.27,0.91,0.91,0.91,0
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,37,36,3084,34.3,17,4,14,3,3,9,0,0.5,0.12,0.61,0.41,0.53,20.5,18.3,3.6,21.8,0.6,0.1,0.7,0.53,0.64,14.6,20.2,72,224.9,51.2,1.02,1.08,0.82,0.12,1.78,18.3,1.98,0.17,0.15,5.92,0.32,0.7,0,12.8,4.37,3.03,0.03,2.13,32.4,0.96,2.54,16.3,15.2,5.86,30.4,1.08,2.22,48.7,1.14,0.09,18,76.8,39.4,2.45,0.82,0.67,2.39,1.28,41.2,22.4,54.3,6.71,0.99,0.64,0.29,0.44,0.26,0.29,0.67,43.5,0.38,13.6,4.02,29.6,1.34,5.71,6.56,0.44,1.43,0.9,0
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,8,6,560,6.2,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0.5,0.08,0,0.08,0.08,0.08,31.3,35.5,88.2,696.8,186,0,1.29,0,0,1.45,34,1.45,0.81,0,1.61,1.13,0,0,28.2,2.42,4.84,0,0.48,46.8,10.2,30,18.2,1.13,0.81,45.5,0,0,,0,0,25.2,129.5,77.1,1.13,0,0,0.32,0,30.2,29.4,97.3,0.16,1.13,0.97,0.81,0.16,0.16,0.48,0.65,75,0.16,5.65,2.1,37.1,2.26,3.23,0.16,1.77,2.9,6.29,0.16
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,30,29,2536,28.2,4,0,4,0,0,2,1,0.14,0,0.14,0.14,0.14,2.2,2.2,0.4,2.6,0.08,0.02,0.09,0.08,0.09,64.3,71.1,90.3,1345.5,409.9,0.21,4.33,0.21,0,3.12,68.6,2.52,2.2,0.07,5.96,2.66,0.04,0,52.8,5.6,12.7,0.04,0.54,80.2,12.3,42,41.4,2.3,0.78,77.9,0.11,0.14,75,0.11,0,52.4,284.8,161.6,3.48,0.71,0,0.28,0.11,58.8,57.8,98.3,0.35,0.96,0.43,0.64,0.32,0,0.32,0.71,45,0.39,5.85,1.7,29.1,3.05,2.41,0.39,1.7,2.66,4.08,0.04
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,13,1,259,2.9,0,1,0,0,0,0,0,0,0.35,0.35,0,0.35,0.5,0.5,0.3,0.8,0.19,0.1,0.29,0.19,0.29,14.5,24.5,59.2,209.3,43.8,0.69,1.03,0.69,0.69,1.03,23.8,0.69,0,0,8.97,0.34,2.07,0,12.1,6.21,6.21,0,1.71,44.8,0.34,2.76,20.3,24.8,6.21,44.5,1.38,2.76,50,1.72,0,26.9,150.7,96.2,5.52,2.07,1.72,5.52,2.76,57.2,34.8,60.8,10.7,0.69,0.69,0,0.34,0.34,0.69,1.03,66.7,0.34,23.8,6.9,29,1.72,10,12.1,0,0.69,0.34,0
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,60,490,0,0,0,0,0,0,50,0,0,0,20,0,0,0,40,10,0,0,0,50,0,10,30,20,0,50,0,0,,0,0,40,170,100,10,10,0,0,0,50,40,80,10,10,10,0,0,10,0,0,,0,20,20,100,20,0,0,0,10,0,0
13,Marcos Acuсa,ar ARG,DF,Sevilla,es La Liga,29,1991,31,26,2260,25.1,1,3,1,0,0,10,0,0.04,0.12,0.16,0.04,0.16,1.4,1.4,3,4.4,0.06,0.12,0.18,0.06,0.18,62.3,78.5,79.4,1283.3,476.7,1.63,4.1,1.67,0.92,4.9,65.3,13.2,2.39,0.12,6.65,4.22,4.94,1.59,46.1,12.4,20.1,0.64,1.83,88,2.75,27.5,41.3,25.6,0.92,75.6,1.79,2.59,69.2,1.91,0.12,59.4,293,178.3,6.37,2.03,0.24,1.04,1.08,62.1,59.2,95.3,2.63,2.31,1.55,1.31,0.6,0.4,0.84,1.39,60,0.56,11.7,3.94,33.8,5.26,4.74,1.67,1.24,3.55,1.2,0
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,30,23,2039,22.7,7,3,7,0,0,0,0,0.31,0.13,0.44,0.31,0.44,7.1,7.1,2.6,9.7,0.31,0.12,0.43,0.31,0.43,14.8,21.3,69.6,232.4,47.9,1.15,0.97,0.57,0.04,1.54,20.6,0.7,0,0.18,6.04,0.44,0.48,0,13.5,4.36,3.44,0,1.76,33.7,1.19,4.1,14.6,16.5,4.49,33,0.62,1.45,42.4,0.75,0,20.9,83,36.7,2.03,0.75,0.48,2.29,2.11,45.1,23.9,52.9,7.05,0.7,0.4,0.18,0.26,0.26,0.09,0.66,13.3,0.57,14.6,3.83,26.2,1.67,5.81,7.14,0.44,1.15,0.66,0
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,24,12,1351,15,0,1,0,0,0,5,0,0,0.07,0.07,0,0.07,0.2,0.2,0.8,1,0.01,0.05,0.07,0.01,0.07,52.8,60.9,86.7,873.5,217.7,0.53,4.93,0.67,0,4.13,58.3,2.67,1.67,0.07,10.1,0.4,0.2,0,47.8,5.73,7.4,0,1.67,70.9,1.93,15.2,47.9,12.7,0.8,68.5,0.67,1.13,58.8,0.67,0,48,229.6,116.7,5.07,1.27,0.2,0.67,1.13,53.5,49.4,92.4,1.2,1.73,1.07,0.4,1.13,0.2,0.53,1.87,28.6,1.33,21.7,6.93,32,5.93,13.2,2.53,1.53,3.27,1.33,0.07
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,13,2,331,3.7,1,0,1,0,0,0,0,0.27,0,0.27,0.27,0.27,0.5,0.5,0.7,1.2,0.14,0.19,0.32,0.14,0.32,19.7,26.5,74.5,311.9,80.8,1.08,1.35,1.08,0.54,2.43,25.1,1.35,0,0,7.3,0,1.62,0,17.8,3.51,5.14,0,2.97,41.4,1.08,7.3,18.1,17.8,3.24,40,1.62,2.43,66.7,1.62,0.27,28.1,136.2,55.9,3.24,0.27,0,3.24,3.51,41.1,25.9,63.2,6.49,3.51,2.16,2.16,1.08,0.27,1.35,3.51,38.5,2.16,21.9,7.3,33.3,4.59,11.1,6.22,0.81,4.32,0.54,0
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,8,2,352,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0.11,0.09,0.21,0.11,0.21,27.4,37.4,73.3,473.6,142.3,0.77,2.56,0.51,0,2.82,35.9,1.54,0.51,0,12.6,0.26,0.51,1.03,29.7,2.56,5.13,0,2.05,50,2.31,13.1,23.6,15.6,1.54,48.5,0.77,1.28,60,0.77,0.26,31,160.3,76.9,2.05,0.26,0,2.05,0.77,34.4,27.4,79.9,2.82,3.59,3.08,2.05,1.28,0.26,1.28,3.85,33.3,2.56,26.2,7.18,27.5,9.49,11.3,5.38,3.59,7.18,1.54,0
18,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,25,13,1256,14,3,2,3,0,0,3,0,0.21,0.14,0.36,0.21,0.36,4.5,4.5,1.8,6.3,0.32,0.13,0.45,0.32,0.45,28,37.1,75.4,417.5,122.4,0.93,2.14,1.14,0.57,2.86,35.8,1.36,0.14,0.07,8.21,0.36,1.86,0.14,29.9,5.29,2,0.07,3,54.6,0.71,8.93,28.6,20.8,4.79,53.3,1.71,3.21,53.3,1.93,0.07,40.1,224.8,136.9,5.93,1.71,1.36,3.07,2.36,52.4,39,74.5,6.57,2.71,1.79,1,1.29,0.43,1.21,2.07,58.6,0.86,21.4,6.64,31,4.5,8.79,8.14,1.21,3.93,0.57,0
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,36,25,2260,25.1,1,7,1,0,0,5,0,0.04,0.28,0.32,0.04,0.32,2.2,2.2,5.5,7.6,0.09,0.22,0.3,0.09,0.3,36.3,49.3,73.6,770.7,253.5,2.27,4.46,1.55,0.16,5.9,44.2,5.06,1.71,0.12,7.85,3.63,1.55,2.67,32.4,5.62,11.2,0.8,3.07,62,1.12,11.6,34.3,20.7,2.27,57.2,1.75,3.15,55.7,1.91,0.12,43.2,240.4,124,6.14,1.91,0.6,1.83,2.59,50.8,43.6,85.9,3.67,1.91,1.35,1.04,0.68,0.2,0.6,2.67,22.4,2.07,24.9,7.25,29.1,6.61,12.7,5.58,2.15,4.06,0.6,0.04
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,12,4,443,4.9,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.03,0.08,0.11,0.03,0.11,44.1,49.6,88.9,740,189,1.22,2.04,1.02,0.2,3.27,46.5,3.06,1.43,0,8.78,2.04,0.41,1.43,40.6,5.1,3.88,0.2,1.63,57.6,2.65,13.1,32.4,13.7,1.22,54.7,0.2,0.61,33.3,0.2,0,38.8,150,70.2,2.24,0.2,0,0.61,1.43,44.5,40.4,90.8,1.63,3.06,1.63,1.22,1.43,0.41,1.02,2.04,50,1.02,26.1,5.51,21.1,9.18,13.5,3.47,1.02,4.08,0.61,0
21,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18,2003,17,6,668,7.4,2,0,2,0,0,5,1,0.27,0,0.27,0.27,0.27,1.9,1.9,0.2,2.1,0.25,0.03,0.28,0.25,0.28,16.9,22.2,76.2,247.2,35.7,0.68,0.41,0.81,0.27,1.35,20.9,1.22,0.14,0,3.38,0.54,1.08,0,17.3,2.97,1.89,0,2.71,41.6,0,2.97,17,25.9,7.03,40.4,1.22,3.11,39.1,1.35,0.14,32.7,159.9,103.9,3.92,2.16,0.95,4.46,4.32,50.3,29.7,59.1,8.92,1.08,0.54,0.14,0.81,0.14,0.54,1.22,44.4,0.68,30,7.43,24.8,3.65,12.4,13.9,0.68,1.76,0,0
22,Martin Agirregabiria,es ESP,DF,Alavйs,es La Liga,25,1996,24,17,1616,18,0,1,0,0,0,4,0,0,0.06,0.06,0,0.06,0.2,0.2,1,1.2,0.01,0.05,0.07,0.01,0.07,31.3,43.8,71.4,579.8,297.3,0.78,2.78,1.06,0.61,3.06,33.7,10.1,0.39,0,4.33,0.94,2.17,0.06,20.9,9.89,12.9,0.11,1.17,54.2,2.78,16.5,26.6,13.3,0.61,44.3,0.78,1.06,73.7,0.78,0.06,25.9,102.2,61.1,2.61,1,0.11,0.56,0.61,30.3,26.1,86.2,1.06,2.33,1.28,1.22,0.67,0.44,1.22,2.39,51.2,1.17,12.8,3.22,25.1,5.39,5.78,1.67,1.33,3.67,2.44,0
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,20.5,74.4,423.8,259.3,0,0.25,0,0,0,12,8.5,2,0,0.75,0.25,0,0,12,0.25,8.25,0,0,23.8,18.8,23.8,0,0,0,15.3,0,0,,0,0,9.5,39.8,18.8,0,0,0,0,0,6.5,6.25,96.2,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0.25,0
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,27,21,1868,20.8,0,0,0,0,0,6,0,0,0,0,0,0,1.2,1.1,0.4,1.5,0.06,0.02,0.08,0.05,0.07,39.8,47.2,84.4,762.5,198,0.53,3.27,0.53,0,3.75,45.5,1.63,1.3,0.05,7.4,1.49,0.19,0.05,34.7,5.29,7.16,0.05,1.34,57.6,2.84,17.9,32.9,10.1,1.68,56.1,0.96,1.39,69,1.01,0.1,36.4,173.7,84.4,2.55,0.77,0.19,0.43,1.01,38.1,35.7,93.7,1.44,2.74,2.02,1.2,1.25,0.29,0.77,1.39,55.2,0.63,18.2,5.82,32,5.67,10,2.45,2.69,5.43,1.54,0
25,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22,1998,23,12,1237,13.7,3,1,3,0,0,2,1,0.22,0.07,0.29,0.22,0.29,2.5,2.5,0.8,3.3,0.18,0.06,0.24,0.18,0.24,20.7,28.1,73.8,308.2,89.1,0.73,1.97,0.95,0.22,2.7,27.2,0.88,0.07,0,8.83,0.51,0.95,0.29,21.1,3.8,3.21,0,2.56,44.1,0.8,6.5,21.9,20.8,3.14,43.2,2.04,3.72,54.9,2.12,0.07,33.1,194.1,114.3,5.55,2.48,1.09,1.53,3.87,36.3,28.1,77.5,4.23,2.99,1.97,1.02,1.46,0.51,0.58,1.39,42.1,0.8,29.2,6.42,22,5.84,15.5,7.88,1.31,4.31,0.29,0
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,31,31,2735,30.4,2,2,2,0,0,3,1,0.07,0.07,0.13,0.07,0.13,1.9,1.9,0.4,2.3,0.06,0.01,0.07,0.06,0.07,64.3,71.5,90,1482.1,482.3,0.1,3.65,0.07,0,2.93,69.3,2.2,2.04,0.03,6.12,3.26,0.07,0,59,3.22,9.31,0,0.36,81.2,9.51,41.3,42.7,1.88,1.15,79.1,0.16,0.2,83.3,0.16,0,57.1,279.3,149.8,2.43,0.16,0,0.23,0.2,62.2,61.3,98.6,0.07,0.99,0.39,0.56,0.43,0,0.23,0.59,38.9,0.36,6.25,2.17,34.7,3.36,2.76,0.13,1.78,2.76,5,0.07
27,Sergio Agьero,ar ARG,FW,Barcelona,es La Liga,33,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.6,0,0.6,0.6,0.6,1.1,1.1,0.3,1.3,0.64,0.16,0.8,0.64,0.8,18.2,25.3,72.1,275.9,25.3,0.59,1.18,0,0,1.18,24.1,1.18,0,0.59,8.82,0,2.35,0,14.1,5.29,5.88,0,1.76,34.7,0,0.59,16.5,19.4,8.82,33.5,0.59,0.59,100,0.59,0,22.4,139.4,64.7,4.12,1.18,1.18,2.94,1.18,45.9,31.2,67.9,9.41,0.59,0.59,0,0,0.59,0,0.59,0,0.59,10.6,2.35,22.2,0,4.71,5.88,0,0.59,0,0
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,28,22,2140,23.8,0,2,0,0,0,4,0,0,0.08,0.08,0,0.08,0.3,0.3,0.8,1.1,0.01,0.03,0.05,0.01,0.05,60.4,72.1,83.8,1057.5,415,0.5,5.46,1.43,0.25,6.43,60.4,11.7,1.51,0.13,6.85,1.43,2.18,0.04,46.1,14.5,11.5,0.04,0.96,84.3,3.74,22.9,44.6,21.5,1.3,73.1,0.42,0.71,58.8,0.5,0,48.8,232.9,141.9,6.34,1.81,0.17,0.63,0.38,54.5,50.5,92.8,2.14,3.82,2.14,2.02,1.39,0.42,1.89,3.07,61.6,1.18,17.5,5.76,32.9,7.94,7.14,2.44,2.48,6.3,2.94,0.04
29,Бlvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,100,240,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,30,0,10,10,10,0,30,0,0,,0,0,10,20,20,0,0,0,0,0,10,10,100,0,10,10,0,0,10,0,0,,0,30,10,33.3,0,0,30,0,10,0,0
30,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19,2002,3,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9,48.6,88.2,810,122.9,0,0,0,0,1.43,47.1,1.43,1.43,0,10,2.86,0,0,41.4,2.86,4.29,0,0,55.7,0,8.57,40,10,0,55.7,0,0,,0,0,48.6,232.9,104.3,4.29,0,0,0,1.43,50,45.7,91.4,1.43,0,0,0,0,0,0,1.43,0,1.43,24.3,8.57,35.3,5.71,14.3,4.29,0,0,2.86,0
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15,15,1350,15,0,1,0,0,0,6,0,0,0.07,0.07,0,0.07,0.4,0.4,0.7,1.1,0.03,0.04,0.07,0.03,0.07,51.3,57.9,88.6,1028.1,308.7,0.67,2.07,0.4,0.13,3.73,55.7,2.2,1.47,0.07,6.73,1.87,0.47,0,46.4,4.27,7.27,0,1.34,67.8,8.8,33.9,34.5,4.53,1.13,65.7,0.13,0.33,40,0.2,0.07,44.3,275.8,163.1,4.13,0.8,0.33,0.27,0.47,45.8,45.1,98.5,0.2,2.33,1.47,1.8,0.47,0.07,0.87,1.8,48.1,0.93,9.93,3.33,33.6,5.8,3.13,1,2.27,4.6,3.07,0
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,25,11,1004,11.2,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,1.6,1.6,1.1,2.7,0.14,0.1,0.24,0.14,0.24,31.1,36.7,84.7,492.2,93.4,0.63,1.88,0.71,0.09,2.41,35.8,0.89,0.89,0,5.18,0.36,0.36,0,28.7,4.38,3.66,0,1.97,48.2,1.16,8.21,30,13.1,1.79,47.5,1.07,1.79,60,1.25,0.09,31.3,152.3,75.9,3.66,1.07,0.27,1.7,1.34,35,30.4,87,4.38,1.79,0.89,0.45,0.98,0.36,0.71,1.25,57.1,0.54,17.8,3.84,21.6,4.55,9.91,3.3,2.05,3.84,0.98,0
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,32,30,2637,29.3,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.01,0,0.02,0.01,0.02,43.1,52,82.9,990.5,280.2,0.1,3.41,0.24,0.03,3.38,50.8,1.23,0.55,0.07,5.53,1.23,0.07,0,38.1,3.92,10,0,0.44,62,7.88,33.4,31.3,1.64,0.38,60.9,0.27,0.34,80,0.27,0.03,40.5,240.8,135,3.58,0.27,0.03,0.27,0.34,40.3,39.9,98.9,0.17,1.98,1.4,1.57,0.27,0.14,0.75,1.13,66.7,0.38,10.9,4.23,38.9,7.06,3.38,0.44,1.88,3.86,4.44,0.07
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,21,17,1437,16,0,0,0,0,0,4,0,0,0,0,0,0,0.3,0.3,1.4,1.7,0.02,0.09,0.11,0.02,0.11,34.1,47.3,72.1,603.5,266.3,1.06,2.63,1.31,0.31,4.19,37.9,9.44,0.56,0.13,5.31,0.56,1.88,0,25.4,8.94,12.9,0.13,2.01,61,3.19,15.5,29.4,20.4,2.06,52,1,1.94,51.6,1.06,0.13,33.8,190.8,114.6,5.38,1.88,0.69,1.5,1.13,40.2,34.6,86,2.81,2,0.94,0.94,0.81,0.25,1.06,1.56,68,0.5,10.5,3.38,32.1,3.63,4.38,2.5,2.06,4.06,2.06,0
35,Rayan Aпt Nouri,fr FRA,DF,Wolves,eng Premier League,20,2001,23,20,1828,20.3,1,2,1,0,0,4,0,0.05,0.1,0.15,0.05,0.15,0.7,0.7,1.3,2.1,0.04,0.07,0.1,0.04,0.1,37.1,49.4,75.2,644.7,226.2,0.84,1.43,0.74,0.44,2.41,38.8,10.6,0.79,0.05,6.65,1.77,2.76,1.43,27.4,10.6,11.4,0.49,1.58,63.1,3.15,22.7,24.2,19.6,2.32,52.8,1.97,3.6,54.8,2.17,0.1,38.5,182.5,113.3,5.81,1.08,0.84,1.53,1.58,40.4,35.9,88.9,2.96,3.74,2.12,2.66,0.69,0.39,1.38,2.22,62.2,0.84,19.8,6.65,33.6,11.4,5.71,2.71,1.87,5.62,1.58,0.05
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,24,23,1995,22.2,1,3,1,0,0,5,0,0.05,0.14,0.18,0.05,0.18,0.8,0.8,1.4,2.2,0.04,0.06,0.1,0.04,0.1,28.3,39.3,72.1,522.6,237.3,0.27,2.16,0.45,0.05,3.38,32.5,6.85,0.36,0,6.22,0.68,0.54,0,20.2,9.77,9.32,0.18,1.05,49.9,5.27,20.8,24.1,8.29,1.4,43.2,0.5,0.77,64.7,0.5,0,25.3,152.5,92.2,3.29,1.22,0.09,0.59,0.5,26.8,24.1,89.7,0.81,1.8,0.99,1.13,0.54,0.14,0.9,1.62,55.6,0.72,9.28,3.29,35.4,4.82,3.15,1.31,2.21,4.01,3.65,0.05
37,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27,1994,36,31,2738,30.4,12,8,9,3,3,5,1,0.39,0.26,0.66,0.3,0.56,11,8.7,5.5,14.2,0.36,0.18,0.54,0.29,0.47,22,29.9,73.7,334.2,44.9,1.25,0.95,0.89,0.16,1.51,29.2,0.69,0,0.03,9.61,0.56,0.59,0,16.7,8.03,5.2,0,2.18,41.5,1.22,3.75,21.9,17.3,5.07,40.8,0.49,1.02,48.4,0.63,0.03,21.1,72.2,31.1,1.58,0.69,0.23,2.63,1.48,52,32.2,61.9,8.45,1.51,0.82,0.13,0.76,0.63,0.26,1.32,20,1.05,17.1,4.7,27.5,1.94,7.7,7.47,0.49,2.01,1.05,0.03
